	Shuffled : 0	Shuffled : 100	Shuffled : 500	Shuffled : 900
0x0	2.0	2.0	2.0	0.0
1x0	1.0	1.0	5.0	2.0
2x0	2.0	2.0	2.0	1.0
3x0	1.0	1.0	1.0	1.0
4x0	2.0	2.0	0.0	4.0
5x0	3.0	3.0	1.0	0.0
6x0	1.0	1.0	1.0	5.0
7x0	1.0	1.0	1.0	0.0
8x0	4.0	4.0	4.0	1.0
9x0	1.0	1.0	1.0	13.0
10x0	0.0	0.0	0.0	1.0
11x0	2.0	2.0	2.0	1.0
12x0	5.0	5.0	0.0	5.0
13x0	3.0	3.0	7.0	2.0
14x0	0.0	0.0	6.0	5.0
15x0	3.0	3.0	3.0	11.0
16x0	3.0	3.0	3.0	5.0
17x0	1.0	1.0	1.0	3.0
18x0	1.0	1.0	1.0	1.0
19x0	2.0	7.0	1.0	4.0
20x0	3.0	3.0	2.0	1.0
21x0	4.0	4.0	3.0	4.0
22x0	1.0	1.0	12.0	1.0
23x0	2.0	2.0	6.0	2.0
24x0	2.0	2.0	2.0	0.0
25x0	4.0	4.0	1.0	10.0
26x0	4.0	4.0	4.0	2.0
27x0	1.0	1.0	1.0	0.0
28x0	1.0	1.0	2.0	8.0
29x0	1.0	2.0	5.0	6.0
0x1	1.0	1.0	1.0	3.0
1x1	1.0	7.0	1.0	2.0
2x1	0.0	2.0	0.0	1.0
3x1	2.0	2.0	2.0	3.0
4x1	4.0	3.0	1.0	3.0
5x1	2.0	2.0	3.0	9.0
6x1	1.0	1.0	6.0	1.0
7x1	3.0	3.0	3.0	1.0
8x1	3.0	3.0	0.0	2.0
9x1	2.0	2.0	2.0	2.0
10x1	5.0	5.0	5.0	8.0
11x1	0.0	0.0	3.0	2.0
12x1	0.0	0.0	10.0	3.0
13x1	4.0	4.0	1.0	1.0
14x1	2.0	2.0	2.0	2.0
15x1	1.0	1.0	3.0	0.0
16x1	2.0	2.0	2.0	9.0
17x1	5.0	5.0	13.0	0.0
18x1	0.0	0.0	6.0	5.0
19x1	2.0	2.0	3.0	15.0
20x1	1.0	1.0	0.0	2.0
21x1	2.0	2.0	2.0	1.0
22x1	2.0	2.0	4.0	3.0
23x1	3.0	3.0	3.0	1.0
24x1	1.0	1.0	2.0	1.0
25x1	2.0	2.0	2.0	13.0
26x1	0.0	0.0	0.0	0.0
27x1	2.0	2.0	1.0	2.0
28x1	4.0	1.0	4.0	2.0
29x1	0.0	5.0	0.0	6.0
0x2	1.0	1.0	0.0	1.0
1x2	0.0	0.0	5.0	2.0
2x2	2.0	2.0	2.0	2.0
3x2	3.0	3.0	2.0	0.0
4x2	3.0	3.0	3.0	2.0
5x2	1.0	1.0	1.0	7.0
6x2	2.0	2.0	2.0	1.0
7x2	5.0	2.0	10.0	1.0
8x2	2.0	2.0	3.0	5.0
9x2	1.0	0.0	1.0	6.0
10x2	2.0	2.0	2.0	6.0
11x2	5.0	10.0	1.0	0.0
12x2	1.0	1.0	1.0	1.0
13x2	3.0	3.0	1.0	3.0
14x2	0.0	0.0	0.0	9.0
15x2	5.0	5.0	5.0	3.0
16x2	1.0	1.0	1.0	0.0
17x2	0.0	0.0	0.0	1.0
18x2	3.0	3.0	0.0	1.0
19x2	3.0	3.0	3.0	4.0
20x2	3.0	3.0	3.0	12.0
21x2	5.0	5.0	1.0	1.0
22x2	1.0	1.0	1.0	9.0
23x2	0.0	0.0	0.0	14.0
24x2	0.0	0.0	2.0	1.0
25x2	3.0	3.0	8.0	0.0
26x2	1.0	1.0	1.0	3.0
27x2	6.0	6.0	8.0	5.0
28x2	2.0	5.0	2.0	2.0
29x2	3.0	6.0	2.0	7.0
0x3	2.0	2.0	2.0	2.0
1x3	2.0	2.0	2.0	0.0
2x3	2.0	2.0	1.0	2.0
3x3	6.0	6.0	6.0	2.0
4x3	6.0	6.0	6.0	7.0
5x3	8.0	8.0	5.0	4.0
6x3	3.0	3.0	8.0	6.0
7x3	1.0	1.0	9.0	11.0
8x3	4.0	0.0	4.0	2.0
9x3	3.0	3.0	3.0	2.0
10x3	3.0	3.0	3.0	11.0
11x3	0.0	0.0	2.0	0.0
12x3	4.0	4.0	4.0	2.0
13x3	1.0	1.0	1.0	4.0
14x3	1.0	1.0	1.0	1.0
15x3	2.0	2.0	2.0	9.0
16x3	3.0	3.0	6.0	3.0
17x3	1.0	1.0	3.0	0.0
18x3	6.0	6.0	1.0	2.0
19x3	0.0	0.0	0.0	8.0
20x3	11.0	11.0	12.0	4.0
21x3	1.0	1.0	3.0	1.0
22x3	1.0	1.0	0.0	3.0
23x3	2.0	2.0	13.0	1.0
24x3	2.0	2.0	2.0	1.0
25x3	1.0	1.0	0.0	2.0
26x3	0.0	0.0	0.0	1.0
27x3	1.0	1.0	1.0	5.0
28x3	1.0	1.0	2.0	6.0
29x3	1.0	1.0	1.0	8.0
0x4	0.0	0.0	0.0	1.0
1x4	1.0	1.0	1.0	4.0
2x4	1.0	1.0	1.0	1.0
3x4	9.0	10.0	9.0	3.0
4x4	4.0	4.0	4.0	8.0
5x4	9.0	9.0	3.0	5.0
6x4	6.0	6.0	0.0	5.0
7x4	4.0	4.0	4.0	1.0
8x4	0.0	0.0	0.0	1.0
9x4	1.0	1.0	5.0	4.0
10x4	2.0	2.0	2.0	1.0
11x4	2.0	2.0	3.0	0.0
12x4	5.0	5.0	5.0	1.0
13x4	3.0	3.0	3.0	8.0
14x4	0.0	0.0	0.0	1.0
15x4	4.0	4.0	9.0	1.0
16x4	4.0	4.0	3.0	3.0
17x4	3.0	3.0	3.0	2.0
18x4	4.0	4.0	2.0	2.0
19x4	6.0	6.0	0.0	2.0
20x4	7.0	7.0	1.0	2.0
21x4	10.0	4.0	10.0	4.0
22x4	2.0	2.0	5.0	1.0
23x4	1.0	1.0	8.0	2.0
24x4	0.0	0.0	0.0	0.0
25x4	7.0	7.0	7.0	5.0
26x4	1.0	1.0	4.0	6.0
27x4	2.0	2.0	2.0	1.0
28x4	2.0	2.0	3.0	0.0
29x4	3.0	0.0	3.0	3.0
0x5	5.0	5.0	2.0	3.0
1x5	3.0	3.0	1.0	2.0
2x5	2.0	5.0	2.0	1.0
3x5	10.0	10.0	0.0	2.0
4x5	10.0	10.0	0.0	0.0
5x5	10.0	10.0	0.0	3.0
6x5	7.0	7.0	7.0	3.0
