	0	1	2	3
2x9	9.304121507802338e-05	0.0008091226721760648	0.00019484289428994253	0.0005743890747160023
2x10	0.00015056161302419769	0.0012509714588885186	5.7187407290363104e-05	0.0037609025501852923
2x11	0.00012597951278186663	0.0012686941843422404	0.00011000358642046905	0.0005913042360278799
2x12	5.407183699203669e-05	0.0007059006976013105	0.00016682833556351659	0.0009749984592663477
2x13	0.00016018346461082987	0.0005172289458459857	0.00154470769699558	0.0018163874167846155
2x14	0.0005994109088685914	0.00012787073265343692	0.0004872936645123413	0.00030783521795423627
2x15	0.00015334511141621435	0.00020367536337791397	0.0021336367167292436	0.001517040512786755
2x16	0.00030685362160550004	0.00032279054655680393	0.0006932261470972297	0.0008145032646621254
2x17	0.00030097116292167087	0.0002192428102089878	0.0004836492436918219	0.0007908569577853437
2x18	0.00030105100076573664	0.00027531747630794244	0.002112929939468877	0.0032632746604698954
2x19	0.00037739726652573623	0.0002664969618747056	0.0007188206338144603	0.0024880976478267387
3x8	0.00010771970290721536	0.0009738065925458915	0.0002275053902399618	0.00041431071663026775
3x9	9.953991975525988e-05	0.0012768739037865113	0.00023015843843725292	0.0006455685676257652
3x10	0.00010448315728685393	0.0009021473204376361	-1.8458830962164046e-05	0.0006921313555644493
3x11	7.632061123393265e-05	0.0007975325527850551	0.00013517991505011394	0.0009628240554086869
3x12	7.446605738858656e-05	0.0008610249489313625	0.0003238253068717753	0.0014018445300479966
3x13	0.00012435448164639174	0.0003777254522669926	0.0008537203312483178	0.0034652773538883692
3x14	0.00012843450087814817	0.00018062226480232364	0.0005489681130847676	0.0037961747120193686
3x15	0.00020487474934003635	0.00021911259761511653	0.0010567788098246695	0.0012177356965226438
3x16	0.00020289019466356847	8.277991228966756e-05	0.000778255578234788	0.0017980829201108312
3x17	0.00035393953455250773	0.0001861014401139803	0.00013150080027391284	0.0006038449693658086
3x18	0.000197452353873253	0.00017616667768053973	0.0013322247218779107	0.0009966881671455712
3x19	0.0001128173116267402	0.00042939784295486865	0.0008457597682084237	0.0014640016323103169
3x20	0.00018021799571663	0.00024051228914076154	0.0005984105267751307	0.001387235673240122
3x21	0.0002351971909130242	0.00014287358960507495	3.47226694482501e-05	0.000770712964204733
4x7	0.00012509669585517242	0.00046870841262367495	0.0005479133258055288	0.0010873038826344087
4x8	1.7290315117983863e-05	0.0006529346287494098	3.71605135285444e-06	0.0013946686610919383
4x9	0.00010845648792264732	0.0011946989665159232	0.00011550954975678672	0.0005117029744604938
4x10	0.00011701143858220524	0.000987140033654392	0.00021626768327231614	0.0006841052080131746
4x11	7.258695313194102e-05	0.0009785241138717449	0.0002568951384715293	0.000792811478339852
4x12	7.212186750073311e-05	0.0007969632781769762	0.000197392464593673	0.0012450860800660975
4x13	0.00020624179713079873	0.0002841963439583704	0.00176368954452083	0.0068095965355838865
4x14	0.00036336823996778163	0.00024565277693936653	0.0009251204569531065	0.0015794887516344053
4x15	0.00027826352174586814	0.0001612259731441034	0.0008175397041484602	0.0014663374182067688
4x16	0.0001347429628667133	0.00014935465006378815	0.0009381998021270165	0.0008485619058078275
4x17	0.0003983365112600305	0.00015922729248215136	0.0008260286650592699	0.001383768335555027
4x18	0.00029761158050560553	0.0003728456673873125	0.0007503976049669939	0.0012682843955713775
4x19	0.00023078237041584618	0.00035850887037639894	0.00043039678762077566	0.0018303022957903761
4x20	0.00032432803845702866	0.00022954600497721193	0.0004332537103177986	0.003018626615351607
4x21	0.00032076781313495164	0.00012621162230627418	4.064517812583449e-05	0.0034910008079208988
4x22	0.00036070083755872646	0.00036039704053111057	0.00014061900035798648	0.0010785908787793962
4x23	0.00023434657330415228	0.0005069419720512137	0.00023610085580719274	0.0002328702071297535
5x6	0.000114505397221797	0.0006069262409350244	0.0002264086192370388	0.0008146769756556974
5x7	8.849830520964768e-05	0.0007427476453896278	0.0001978480146676135	0.0008935088579327124
5x8	0.0002556323248839529	0.0006859558096539483	0.000578907394790312	0.0018453793321980183
