gene	ST_mel1_rep1_counts	average
ANXA2 ENSG00000182718	0.5360000000000004	0.30237288135594503
DNAH1 ENSG00000114841	0.3990000000000003	0.20949152542373772
PPP6C ENSG00000119414	0.47700000000000037	0.2623728813559434
CCL19 ENSG00000172724	0.5630000000000004	0.3206779661017085
H3F3B ENSG00000132475	0.47100000000000036	0.2583050847457737
HNRNPA3 ENSG00000170144	0.47000000000000036	0.2576271186440788
EIF4ENIF1 ENSG00000184708	0.3950000000000003	0.20677966101695794
PDE6D ENSG00000156973	0.44600000000000034	0.2413559322034001
NUDC ENSG00000090273	0.43400000000000033	0.23322033898306077
RALY ENSG00000125970	0.3870000000000003	0.2013559322033984
RBM8A ENSG00000265241	0.5490000000000004	0.3111864406779793
CLEC2D ENSG00000069493	0.3830000000000003	0.1986440677966186
HMGB1 ENSG00000189403	0.5560000000000004	0.3159322033898439
CD83 ENSG00000112149	0.34100000000000025	0.17016949152543095
IFT46 ENSG00000118096	0.44600000000000034	0.2413559322034001
NDUFA1 ENSG00000125356	0.5380000000000004	0.3037288135593349
MAP1B ENSG00000131711	0.3920000000000003	0.2047457627118731
PCCB ENSG00000114054	0.36300000000000027	0.18508474576271972
THUMPD1 ENSG00000066654	0.34200000000000025	0.1708474576271259
LITAF ENSG00000189067	0.4020000000000003	0.21152542372882255
CX3CL1 ENSG00000006210	0.6000000000000004	0.3457627118644215
TNPO1 ENSG00000083312	0.5760000000000004	0.3294915254237428
NISCH ENSG00000010322	0.44600000000000034	0.2413559322034001
ERP44 ENSG00000023318	0.3920000000000003	0.2047457627118731
DAZAP2 ENSG00000183283	0.6070000000000004	0.3505084745762861
RECQL5 ENSG00000108469	0.35300000000000026	0.17830508474577028
NDRG1 ENSG00000104419	0.8340000000000006	0.5044067796610384
HSD17B12 ENSG00000149084	0.5080000000000003	0.2833898305084866
MARCKSL1 ENSG00000175130	0.4120000000000003	0.21830508474577198
PCNP ENSG00000081154	0.47500000000000037	0.26101694915255347
HMCN1 ENSG00000143341	0.5140000000000003	0.28745762711865624
PLEKHA4 ENSG00000105559	0.3870000000000003	0.2013559322033984
CECR1 ENSG00000093072	0.5080000000000003	0.2833898305084866
YWHAQ ENSG00000134308	0.6760000000000005	0.3972881355932372
SPATS2L ENSG00000196141	0.4050000000000003	0.21355932203390737
